ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,28,40
1,6,5,2,28,61
9,4,3,0,31,58
3,4,0,1,73,85
8,2,0,2,64,87
7,3,2,4,89,104
4,1,0,4,70,109
2,1,0,4,77,116
6,4,4,5,106,117
5,1,4,5,110,121
14,6,4,5,0,12
12,1,4,5,3,15
10,1,4,5,8,20
11,3,5,0,22,52
13,4,0,5,49,80
16,5,3,1,13,29
15,3,1,5,31,56
22,3,2,0,13,28
17,2,4,0,8,38
23,2,0,2,30,56
19,6,0,3,37,74
18,3,2,4,67,88
20,4,0,5,34,92
24,6,0,1,116,128
21,4,1,2,137,148
25,1,0,4,113,154
26,3,1,3,18,35
30,6,3,5,26,42
29,4,1,5,10,44
28,6,0,1,81,94
27,6,0,2,81,105
32,3,4,5,9,20
31,2,4,5,13,24
36,1,5,1,16,57
41,2,5,0,6,58
37,5,5,0,15,67
35,4,5,0,17,69
33,6,2,5,93,114
40,3,0,5,66,102
38,5,1,0,143,154
39,4,2,0,130,152
34,6,3,0,128,161
42,4,5,2,28,50
43,3,5,0,27,65
44,5,4,5,88,99
45,3,0,5,62,98
47,4,0,1,28,39
46,2,1,4,41,61
48,2,4,5,60,70
50,1,0,5,24,68
49,3,1,0,95,105
51,6,0,1,3,14
53,5,3,4,28,39
56,2,1,4,3,29
54,2,4,5,38,48
55,2,2,0,71,86
52,5,3,0,68,94
57,5,0,4,84,110
66,2,2,5,21,41
63,5,0,5,13,51
58,6,0,5,23,61
60,4,5,1,59,98
61,4,2,0,85,108
64,4,4,0,64,103
62,2,5,0,57,108
59,1,5,0,63,114
65,5,1,0,113,124
70,3,0,1,0,11
68,5,0,3,3,37
69,2,2,4,25,47
74,2,2,5,12,44
67,3,0,5,3,58
75,5,5,4,43,55
76,4,3,2,62,74
71,2,3,1,74,97
72,2,5,1,51,97
73,1,3,0,73,107
78,1,0,3,0,23
79,5,0,5,0,38
77,4,0,5,3,41
81,5,3,1,47,63
80,3,0,1,78,88
82,4,0,3,8,29
85,3,3,1,59,75
83,1,5,1,43,80
87,5,1,0,72,83
86,2,3,0,57,86
84,4,4,0,49,89
91,4,0,1,2,14
88,3,0,1,3,15
90,2,0,3,2,37
89,6,2,4,27,48
92,2,3,0,56,76
93,4,2,5,13,34
95,3,5,4,28,38
96,5,0,1,63,76
94,6,0,3,67,96
99,1,0,1,110,127
97,6,0,3,113,145
98,6,0,4,113,156
100,5,0,1,175,186
103,2,5,0,26,56
101,2,0,1,60,70
102,1,0,2,59,79
104,4,0,1,13,30
106,3,0,2,8,36
105,2,0,3,12,50
107,5,0,4,7,57
110,3,4,5,53,63
111,6,3,5,39,62
108,6,5,1,72,98
109,4,0,1,107,118
116,4,0,1,0,12
113,3,0,3,5,35
115,4,0,4,2,44
114,5,3,5,36,58
112,4,0,5,8,61
117,6,4,5,8,19
126,1,1,0,35,46
122,3,1,0,42,53
121,4,2,0,33,55
119,2,0,1,63,80
123,3,1,2,74,84
124,1,0,2,53,81
118,5,0,3,63,102
120,6,0,4,59,111
125,4,3,5,92,114
127,2,0,5,143,173
129,2,5,1,18,45
133,4,5,0,11,48
130,2,5,0,16,53
134,4,0,1,49,65
131,4,0,1,52,68
132,3,0,3,51,84
136,4,3,5,79,95
128,1,0,5,59,109
138,5,0,5,121,155
137,3,0,5,125,159
135,6,0,5,130,164
147,6,1,0,12,23
140,1,2,0,22,43
145,6,1,4,43,74
144,2,2,5,58,89
143,3,5,4,90,101
146,1,5,0,82,118
148,4,3,5,18,34
149,3,5,4,36,46
152,3,0,1,66,79
155,5,0,2,57,82
151,4,0,4,67,108
150,6,1,5,82,120
153,2,1,2,140,152
154,5,1,4,136,163
160,2,3,4,29,39
156,3,1,4,18,45
158,6,1,5,15,53
159,2,0,1,83,94
157,4,0,2,84,105
164,2,0,1,10,23
165,3,0,2,9,32
161,2,0,4,13,51
163,3,0,5,10,58
168,1,5,4,52,62
162,4,1,0,90,101
167,3,0,1,96,109
169,2,0,3,91,119
166,6,0,3,97,125
170,6,0,2,141,157
171,3,1,5,8,33
172,5,4,0,43,69
173,5,0,2,3,26
174,2,0,3,0,33
176,4,1,5,8,45
179,6,5,0,46,90
178,3,5,0,46,90
177,5,5,0,46,90
181,2,0,4,89,114
180,6,3,2,127,138
175,2,1,0,155,165
186,2,1,0,46,56
184,4,5,0,23,59
182,1,5,0,28,64
185,3,0,1,60,73
183,4,0,2,63,88
188,6,1,3,73,95
189,3,0,3,59,95
187,2,4,5,107,117
194,2,2,1,9,20
193,6,1,0,22,33
190,3,2,0,18,41
199,1,0,1,23,37
197,5,0,1,28,42
191,5,0,1,42,56
196,4,0,2,29,58
198,6,1,4,44,71
195,3,4,5,78,88
192,1,4,2,105,120
200,2,3,5,8,23
203,1,0,1,45,58
204,4,0,2,42,66
201,5,0,2,50,74
206,1,0,4,40,86
205,2,3,5,76,96
202,3,1,5,61,103
207,1,5,4,3,13
208,2,5,0,19,49
211,4,2,0,45,61
210,2,5,0,28,65
209,4,5,0,28,65
212,2,3,5,84,99
214,3,0,1,27,39
216,6,1,2,38,50
222,2,1,3,30,53
215,1,0,4,25,71
217,1,0,5,24,80
213,4,0,5,28,84
219,3,1,0,111,123
218,5,1,0,111,123
220,3,4,0,89,121
221,3,5,0,76,118
223,1,0,3,3,23
224,1,4,5,29,39
228,4,5,0,32,63
226,3,0,1,69,81
225,1,0,3,71,98
227,5,0,4,68,105
234,4,1,0,25,36
232,3,5,0,4,41
230,3,5,0,8,45
233,2,0,1,43,55
231,3,0,2,47,69
229,4,0,5,49,91
236,3,2,0,18,33
235,1,0,2,34,49
240,4,1,0,9,20
237,5,2,0,3,25
244,4,0,3,10,37
239,6,3,4,53,64
242,1,2,5,35,69
241,3,0,5,22,73
238,1,4,2,87,102
243,3,2,0,92,107
246,2,5,2,26,60
251,1,4,1,32,63
253,5,5,1,12,57
249,2,5,0,21,77
245,5,5,0,28,84
252,4,0,1,74,85
247,5,2,4,107,123
254,3,4,5,108,118
250,1,3,1,145,166
248,5,2,0,159,180
256,2,0,1,9,20
258,3,0,2,6,29
255,5,1,5,24,55
257,4,1,0,77,88
260,4,4,5,28,39
259,2,1,5,8,39
262,2,4,2,46,61
261,3,0,2,78,95
263,5,0,5,75,112
265,4,0,1,28,40
264,4,0,5,28,66
269,2,0,1,22,36
272,2,0,4,14,48
271,5,0,4,15,49
270,1,0,4,19,53
267,2,0,5,28,74
266,2,0,5,28,74
268,1,2,1,97,107
274,6,4,0,66,102
273,3,0,4,105,130
275,6,2,0,13,29
276,1,0,1,29,39
277,3,4,1,57,77
279,5,3,0,9,31
278,3,3,0,13,35
280,4,0,5,34,65
281,3,5,4,65,76
284,1,4,0,72,98
282,3,4,0,74,100
283,2,5,0,60,98
285,1,4,5,23,33
287,2,1,0,61,71
290,5,2,0,44,65
293,3,5,0,15,56
288,2,0,2,71,93
289,6,2,4,92,113
292,6,1,5,73,118
286,3,1,5,85,130
291,3,3,4,139,149
297,3,0,1,20,34
296,5,0,1,21,35
294,6,0,4,23,59
299,2,5,1,66,97
295,4,4,0,78,109
300,5,0,1,106,118
298,4,0,4,110,143
303,2,0,1,21,34
301,5,0,1,23,36
304,4,1,5,34,60
306,3,0,5,15,57
305,5,2,1,81,93
302,3,2,1,85,97
307,6,0,2,103,121
308,4,0,4,101,135
309,2,3,4,8,18
311,6,4,1,14,35
310,3,0,5,50,80
317,5,4,5,12,23
313,4,3,5,10,33
312,5,3,5,13,36
318,4,5,2,28,51
319,1,5,1,24,61
322,4,2,0,43,65
320,3,2,0,49,71
316,5,5,0,28,75
314,4,0,4,86,118
321,2,3,5,93,114
315,4,0,5,83,126
325,2,1,0,26,36
323,6,5,0,3,39
326,2,0,1,37,49
324,2,3,4,66,76
327,6,0,4,34,71
328,5,5,2,80,101
329,1,2,5,3,23
332,2,1,0,44,54
331,4,5,0,19,55
330,2,1,2,68,78
338,2,1,0,4,14
333,2,2,0,3,23
340,1,0,1,13,26
335,1,0,1,21,34
341,2,0,3,11,41
334,4,0,3,22,52
337,6,3,5,48,64
343,4,1,5,20,54
339,3,0,5,15,63
342,6,1,0,93,104
336,5,2,0,89,111
345,2,1,0,8,18
350,3,0,1,6,20
348,2,0,1,12,26
346,2,0,1,17,31
344,5,2,3,47,58
351,4,1,3,22,44
349,6,0,5,8,64
347,6,2,4,92,108
354,1,3,2,13,23
361,3,2,1,2,12
352,4,4,0,3,45
357,2,0,2,36,52
355,3,2,3,60,71
356,4,0,3,40,68
360,1,3,4,56,66
353,1,2,5,63,97
358,4,5,4,84,95
359,2,3,0,102,122
362,3,0,1,3,13
363,2,5,2,37,57
364,5,0,1,13,26
372,4,2,3,24,35
371,1,3,4,38,48
369,5,0,4,3,50
368,2,0,4,3,50
367,6,5,2,66,90
365,5,5,1,72,107
366,4,5,0,68,114
370,4,0,3,109,130
373,6,1,2,13,25
375,2,1,5,5,38
380,2,3,0,46,66
374,2,5,0,43,78
377,5,0,1,70,83
376,2,0,3,72,101
378,5,0,5,70,114
381,5,0,3,142,165
389,3,4,5,11,21
379,6,0,5,144,188
390,1,5,4,24,35
384,1,5,4,33,44
383,3,4,2,48,72
385,5,3,0,52,81
391,3,5,0,21,72
392,3,0,1,73,85
387,2,1,2,91,102
386,2,1,2,93,104
382,5,0,2,92,116
388,5,3,0,114,135
394,4,0,1,3,14
400,5,4,5,25,38
397,1,4,5,35,48
